Grupo de descuento;Mes;Centro deportivo;Distrito;Grupo de actividad deportiva;Sexo;Nº Descuentos
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;HOMBRE;3
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;HOMBRE;2
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;HOMBRE;1
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;HOMBRE;8
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;HOMBRE;18
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;HOMBRE;8
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MUJER;3
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MUJER;3
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MUJER;2
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MUJER;25
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MUJER;64
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;USO DE ESPACIOS DEPORTIVOS;HOMBRE;1
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;USO LIBRE;HOMBRE;411
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;USO LIBRE;HOMBRE;460
DIVERSIDAD FUNCIONAL;1;Centro Integrado Arganzuela;ARGANZUELA                                        ;USO LIBRE;MUJER;415
